Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
45,NCT03154437,An Expanded Access Program of Emicizumab in Participants With Hemophilia A With Inhibitors,,Approved for marketing,No Results Available,Hemophilia A,Biological: Emicizumab,,"Genentech, Inc.",All,"12 Years and older   (Child, Adult, Older Adult)",,null,Industry,"Expanded Access:Treatment IND/Protocol""",,ML39356,null,null,null,16-May-17,null,29-Mar-18,"University of Colorado Denver, Children's Hospital, Aurora, Colorado, United States|University of Miami Miller School of Medicine, Miami, Florida, United States|Rush Medical Center, Chicago, Illinois, United States|Tulane Medical Center; Investigational/Research Pharmacy, New Orleans, Louisiana, United States|Boston Childrens Hospital, Boston, Massachusetts, United States|University of Minnesota, Minneapolis, Minnesota, United States|Children's Mercy Hosp Clinics, Kansas City, Missouri, United States|Barnabas Health Newark Beth Israel Medical Center - Pulmonary Hypertension & Lung Transplant Program, Newark, New Jersey, United States|Nationwide Children's Hospital, Columbus, Ohio, United States|University of Oklahoma Health Sciences Center, Oklahoma City, Oklahoma, United States|University of Texas Southwestern Medical Center - Children's Medical Center Dallas, Dallas, Texas, United States|University of Texas Medical School, Houston, Texas, United States|University of Utah, Salt Lake City, Utah, United States|Bloodworks Northwest (formerly Puget Sound Blood Center); Hemophilia, Seattle, Washington, United States",,https://ClinicalTrials.gov/show/NCT03154437
46,NCT03153462,Axicabtagene Ciloleucel Expanded Access Study,ZUMA-9,Available,No Results Available,Relapsed/Refractory Diffuse Large B Cell Lymphoma|Relapsed/Refractory Primary Mediastinal B Cell Lymphoma|Relapsed/Refractory Transformed Follicular Lymphoma|Relapsed/Refractory High-Grade B-Cell Lymphoma,Biological: Axicabtagene Ciloleucel,,"Kite, A Gilead Company",All,"18 Years and older   (Adult, Older Adult)",,null,Industry,"Expanded Access:Treatment IND/Protocol""",,KTE-C19-109,null,null,null,15-May-17,null,30-May-18,"Stanford Cancer Institute, Stanford, California, United States|H Lee Moffitt Cancer Center, Tampa, Florida, United States|University of Chicago, Chicago, Illinois, United States|Dana-Farber Cancer Institute, Boston, Massachusetts, United States|Mayo Clinic, Rochester, Minnesota, United States|University of Nebraska Medical Center, Omaha, Nebraska, United States|Memorial Sloan Kettering Cancer Center, New York, New York, United States|Ohio State University Comprehensive Cancer Center, Columbus, Ohio, United States|The University of Texas MD Anderson Cancer Center, Houston, Texas, United States",,https://ClinicalTrials.gov/show/NCT03153462
47,NCT03147742,An Expanded Access Program of Ruxolitinib for the Treatment of Graft-Versus-Host Disease Following Allogeneic Hematopoietic Stem Cell Transplant,,Available,No Results Available,Graft-versus-host Disease (GVHD),Drug: Ruxolitinib,,Incyte Corporation,All,"12 Years and older   (Child, Adult, Older Adult)",,null,Industry,"Expanded Access:Intermediate-size Population""",,INCB 18424-MA-GD-301,null,null,null,10-May-17,null,5-Jul-17,,,https://ClinicalTrials.gov/show/NCT03147742
48,NCT03145545,Expanded Access Protocol Using Alpha/Beta T and CD19+ Depleted PBSC,,Available,No Results Available,Leukemia|Bone Marrow Failure Syndrome|Immunodeficiencies,Device: Apha/beta T and CD19+ cell depletion using CliniMACS device,,Children's Hospital of Philadelphia,All,"1 Month and older   (Child, Adult, Older Adult)",,null,Other,"Expanded Access:Treatment IND/Protocol""",,16-013527,null,null,null,9-May-17,null,18-Jun-18,"Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, United States",,https://ClinicalTrials.gov/show/NCT03145545
49,NCT03138629,Expanded Access to VAL-083,,Available,No Results Available,Cancer,Drug: VAL-083,,"DelMar Pharmaceuticals, Inc.",All,"18 Years and older   (Adult, Older Adult)",,null,Industry,"Expanded Access:Individual Patients|Intermediate-size Population""",,DLM-17-002,null,null,null,3-May-17,null,3-May-17,,,https://ClinicalTrials.gov/show/NCT03138629
50,NCT03133988,Margetuximab Expanded Access Program,,Available,No Results Available,HER2-positive Breast Cancer|Neoplasm Metastasis|HER2-positive Carcinoma,,,MacroGenics,null,"Child, Adult, Older Adult",,null,Industry,"Expanded Access:Individual Patients""",,MGAH22-EA,null,null,null,28-Apr-17,null,26-Jun-17,,,https://ClinicalTrials.gov/show/NCT03133988
51,NCT03127618,Lorlatinib - PF-06463922,,Available,No Results Available,,Drug: Lorlatinib,,Pfizer,null,"18 Years and older   (Adult, Older Adult)",,null,Industry,"Expanded Access:Individual Patients""",,B746,null,null,null,25-Apr-17,null,18-Jul-17,,,https://ClinicalTrials.gov/show/NCT03127618
52,NCT03127605,Inotuzumab Ozogamicin - PF-05208773,,Available,No Results Available,,Drug: Inotuzumab Ozogamicin,,Pfizer,null,"Child, Adult, Older Adult",,null,Industry,"Expanded Access:Individual Patients""",,B193,null,null,null,25-Apr-17,null,25-Apr-17,,,https://ClinicalTrials.gov/show/NCT03127605
53,NCT03126643,Expanded Access to Nivolumab (Opdivo),,Available,No Results Available,Pediatric Cancer,Biological: Nivolumab,,Bristol-Myers Squibb,All,up to 17 Years   (Child),,null,Industry,"Expanded Access:Individual Patients""",,EAP-01-CA209,null,null,null,24-Apr-17,null,20-Jun-18,,,https://ClinicalTrials.gov/show/NCT03126643
54,NCT03126617,Expanded Access to Elotuzumab (Empliciti) for Multiple Myeloma,,Available,No Results Available,Multiple Myeloma,Biological: Elotuzumab,,Bristol-Myers Squibb,All,"18 Years and older   (Adult, Older Adult)",,null,Industry,"Expanded Access:Individual Patients""",,EAP-01-CA204,null,null,null,24-Apr-17,null,27-Jun-18,,,https://ClinicalTrials.gov/show/NCT03126617
55,NCT03123965,Expanded Access to Glecaprevir/ Pibrentasvir,,Available,No Results Available,Hepatitis C Virus Infection,Drug: glecaprevir|Drug: pibrentasvir,,AbbVie,null,"Child, Adult, Older Adult",,null,Industry,"Expanded Access:Individual Patients""",,C16-563,null,null,null,21-Apr-17,null,14-Mar-18,,,https://ClinicalTrials.gov/show/NCT03123965
56,NCT03123952,Expanded Access to ABT-414,,Available,No Results Available,Cancer,Drug: ABT-414,,AbbVie,All,"18 Years and older   (Adult, Older Adult)",,null,Industry,"Expanded Access:Individual Patients|Intermediate-size Population""",,C16-478,null,null,null,21-Apr-17,null,14-Mar-18,,,https://ClinicalTrials.gov/show/NCT03123952
57,NCT03123939,Expanded Treatment Protocol in Acute Lymphoblastic Leukemia,,Available,No Results Available,Acute Lymphoblastic Leukemia,Genetic: CTL019,,Novartis Pharmaceuticals|Novartis,All,"3 Years to 21 Years   (Child, Adult)",,null,Industry,Expanded Access,,CCTL019B2001X|2016-001991-31,null,null,null,21-Apr-17,null,3-Aug-17,"Novartis Investigative Site, Vienna, Austria|Novartis Investigative Site, Gent, Belgium|Novartis Investigative Site, Toronto, Ontario, Canada|Novartis Investigative Site, Esplugues de Llobregat, Barcelona, Spain",,https://ClinicalTrials.gov/show/NCT03123939
58,NCT03123211,Expanded Access to Veliparib,,Available,No Results Available,Cancer,Drug: Veliparib,,AbbVie,All,"18 Years and older   (Adult, Older Adult)",,null,Industry,"Expanded Access:Individual Patients|Intermediate-size Population""",,C16-468,null,null,null,21-Apr-17,null,14-Mar-18,,,https://ClinicalTrials.gov/show/NCT03123211
59,NCT03123029,Expanded Access to Venetoclax,,Available,No Results Available,Chronic Lymphocytic Leukemia (CLL)|Multiple Myeloma|Acute Myeloid Leukemia (AML)|Non-Hodgkin's Lymphoma,Drug: Venetoclax,,AbbVie,All,"18 Years and older   (Adult, Older Adult)",,null,Industry,"Expanded Access:Individual Patients""",,C16-431,null,null,null,21-Apr-17,null,14-Mar-18,,,https://ClinicalTrials.gov/show/NCT03123029
60,NCT03089658,Expanded Access to Avelumab for Treatment of Metastatic Merkel Cell Carcinoma (mMCC),,Available,No Results Available,Metastatic Merkel Cell Carcinoma,Drug: Avelumab,,Merck KGaA|Pfizer,All,"18 Years and older   (Adult, Older Adult)",,null,Industry,Expanded Access,,MS100070_0308,null,null,null,24-Mar-17,null,9-Aug-17,"Avelumab ATU Unit, Lyon, France",,https://ClinicalTrials.gov/show/NCT03089658
61,NCT03079687,"Expanded Access Program for Olaparib Tablets as Maintenance Therapy in Patients With Ovarian, Fallopian Tube or Primary Peritoneal Cancer.",,Approved for marketing,No Results Available,Ovarian Cancer,Drug: Olaparib tablets,,AstraZeneca|Parexel,Female,"18 Years to 120 Years   (Adult, Older Adult)",,null,Industry,"Expanded Access:Treatment IND/Protocol""",,D0816R00014,null,null,null,14-Mar-17,null,25-Oct-17,"Research Site, Duarte, California, United States|Research Site, Newport Beach, California, United States|Research Site, Roseville, California, United States|Research Site, Gainesville, Florida, United States|Research Site, Scarborough, Maine, United States|Research Site, Baltimore, Maryland, United States|Research Site, Rochester, Minnesota, United States|Research Site, Columbia, Missouri, United States|Research Site, Albuquerque, New Mexico, United States|Research Site, Durham, North Carolina, United States|Research Site, Winston-Salem, North Carolina, United States|Research Site, Cleveland, Ohio, United States|Research Site, Portland, Oregon, United States",,https://ClinicalTrials.gov/show/NCT03079687
62,NCT03072667,Omegaven for Compassionate Use in the Treatment of Parenteral Nutrition-Associated Liver Disease,,Available,No Results Available,Cholestasis|Liver Diseases,Drug: Omegaven,,"Catherine Cibulskis, MD|St. Louis University",All,up to 1 Year   (Child),,null,Other,"Expanded Access:Individual Patients|Treatment IND/Protocol""",,16150,null,null,null,7-Mar-17,null,14-Mar-18,"SSM Health Cardinal Glennon Children's Hospital, Saint Louis, Missouri, United States",,https://ClinicalTrials.gov/show/NCT03072667
63,NCT03070093,Expanded Access Study of Gilteritinib (ASP2215) in Patients With FMS-like Tyrosine Kinase 3 (FLT3) Mutated Relapsed or Refractory Acute Myeloid Leukemia (AML) or FLT3-Mutated AML in Complete Remission (CR) With Minimal Residual Disease (MRD),,Available,No Results Available,Acute Myeloid Leukemia (AML)|FMS-like Tyrosine Kinase-3 (FLT3) Mutations,Drug: gilteritinib,,"Astellas Pharma Global Development, Inc.|Astellas Pharma Inc",All,"18 Years and older   (Adult, Older Adult)",,null,Industry,"Expanded Access:Treatment IND/Protocol""",,2215-CL-9100,null,null,null,3-Mar-17,null,21-Jun-18,"UCLA, Los Angeles, California, United States|Memorial Healthcare System, Pembroke Pines, Florida, United States|Georgia Cancer Center at Augusta University, Augusta, Georgia, United States|Northwestern University Medical Center, Chicago, Illinois, United States|University of Chicago, Chicago, Illinois, United States|Norton Cancer Institute, Louisville, Kentucky, United States|Tulane University, New Orleans, Louisiana, United States|University of Maryland Medical Center, Baltimore, Maryland, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|West Michigan Regional Cancer Center, Kalamazoo, Michigan, United States|Washington University School of Medicine, Saint Louis, Missouri, United States|New Mexico Cancer Care Alliance, Albuquerque, New Mexico, United States|Roswell Park Cancer Institute, Buffalo, New York, United States|Memorial Sloan Kettering, New York, New York, United States|Weill Cornell Medical College, New York, New York, United States|Ohio State University, Columbus, Ohio, United States|Huntsman Cancer Institute University of Utah, Salt Lake City, Utah, United States|WVU Medicine Cancer, Morgantown, West Virginia, United States|Site CA15002, Halifax, Nova Scotia, Canada|Site CA15003, Toronto, Ontario, Canada|Site CA15001, Montreal, Quebec, Canada|Site JP81001, Naka-ku, Japan|Site JP81002, Tokyo, Japan",,https://ClinicalTrials.gov/show/NCT03070093
64,NCT03062631,"Treatment Use of 3,4 Diaminopyridine in Congenital Myasthenia and Lambert-Eaton Syndrome",,Available,No Results Available,Congenital Myasthenic Syndrome|Lambert-Eaton Myasthenic Syndrome,"Drug: 3,4-Diaminopyridine",,"Ricardo Maselli|Jacobus Pharmaceutical|University of California, Davis",All,"3 Months to 75 Years   (Child, Adult, Older Adult)",,null,Other|Industry,"Expanded Access:Individual Patients|Treatment IND/Protocol""",,223019,null,null,null,23-Feb-17,null,23-May-18,"University of California, Davis Medical Center, Sacramento, California, United States",,https://ClinicalTrials.gov/show/NCT03062631
65,NCT03029481,Single Patient Expanded Access to Ganitumab for Metastatic Ewing Sarcoma,,Available,No Results Available,Ewing Sarcoma,Drug: Ganitumab,,"Jonsson Comprehensive Cancer Center|NantCell, Inc.",All,48 Years to 50 Years   (Adult),,null,Other|Industry,"Expanded Access:Individual Patients|Treatment IND/Protocol""",,17-000019|JCCCID738,null,null,null,24-Jan-17,null,22-Feb-18,,,https://ClinicalTrials.gov/show/NCT03029481
66,NCT03025867,Expanded Access Protocol for Niraparib in Patients With Recurrent Ovarian Cancer,,Approved for marketing,No Results Available,Recurrent Ovarian Cancer,Drug: Niraparib,,"Tesaro, Inc.",Female,"18 Years and older   (Adult, Older Adult)",,null,Industry,Expanded Access,,3000-07-001,null,null,null,20-Jan-17,null,17-Apr-17,,,https://ClinicalTrials.gov/show/NCT03025867
67,NCT03025360,Expanded Access to Provide Larotrectinib (LOXO-101) for the Treatment of Cancers With a NTRK Gene Fusion,,Available,No Results Available,"Cancer|Neurotrophic Tyrosine Kinase, Receptor-related Proteins",Drug: larotrectinib,,"Loxo Oncology, Inc.|Bayer",All,"Child, Adult, Older Adult",,null,Industry,Expanded Access,,Larotrectinib (LOXO-101) EAP,null,null,null,19-Jan-17,null,28-Feb-18,,,https://ClinicalTrials.gov/show/NCT03025360
68,NCT03020810,Dupilumab Compassionate Use Study,,Approved for marketing,No Results Available,Asthma,Drug: Dupilumab,,Sally E. Wenzel MD|University of Pittsburgh,All,"18 Years and older   (Adult, Older Adult)",,null,Other,Expanded Access,,PRO16120334,null,null,null,13-Jan-17,null,7-Mar-18,,,https://ClinicalTrials.gov/show/NCT03020810
69,NCT03015844,A Compassionate Use/Expanded Access Protocol Using 131I-MIBG Therapy for Patients With Refractory Neuroblastoma and Metastatic Pheochromocytoma,,Available,No Results Available,Neuroblastoma|Pheochromocytoma,Drug: 131-I-meta-iodobenzylguanidine,,Northwell Health|Cohen Children's Medical Center,All,"365 Days to 29 Years   (Child, Adult)",,null,Other,Expanded Access,,CCMC1611,null,null,null,10-Jan-17,null,31-Jan-18,"Cohen Children's Medical Center, New Hyde Park, New York, United States",,https://ClinicalTrials.gov/show/NCT03015844
70,NCT02985658,Expanded Access With ABT-888 (Veliparib) to Treat Metastatic Breast Cancer,,Available,No Results Available,Metastatic Breast Cancer With BRCA 1 or BRCA 2 Genetic Mutation|Triple-Negative Breast Cancer,Drug: Veliparib|Drug: Cisplatin|Drug: Vinorelbine,,University of Washington|AbbVie,Female,"18 Years and older   (Adult, Older Adult)",,null,Other|Industry,Expanded Access,,9763,null,null,null,7-Dec-16,null,26-Oct-17,"Seattle Cancer Care Allliance, Seattle, Washington, United States",,https://ClinicalTrials.gov/show/NCT02985658
71,NCT02969174,Establish a Non-invasive Prenatal Genotyping and Extraction Technology to Diagnose and Treat the HDN.,,Approved for marketing,No Results Available,HDFN,"Other: zimin Lu,Guo Sa",,"Shanghai Tongji Hospital, Tongji University School of Medicine",All,12 Weeks to 38 Weeks   (Child),,null,Other,Expanded Access,,ShangjiTongjiHsxk,null,null,null,21-Nov-16,null,21-Nov-16,,,https://ClinicalTrials.gov/show/NCT02969174
72,NCT02963350,"A Multicenter, Multi-national Open-label Program to Provide BMN 190 to Patients Diagnosed With CLN2 Disease",,Approved for marketing,No Results Available,CLN2 Disease,"Drug: BMN190, recombinant human tripeptidyl peptidase-1 (rhTPP1)",,BioMarin Pharmaceutical,All,"2 Years and older   (Child, Adult, Older Adult)",,null,Industry,Expanded Access,,190-502,null,null,null,15-Nov-16,null,24-Jul-17,"Orange, California, United States|Columbus, Ohio, United States|Hamburg, Germany|Rome, Italy|London, United Kingdom",,https://ClinicalTrials.gov/show/NCT02963350
73,NCT02961491,Expanded Access Program of Ultratrace Iobenguane I131 for Malignant Relapsed/Refractory Pheochromocytoma/Paraganglioma,,Available,No Results Available,Pheochromocytoma|Paraganglioma,Drug: Ultratrace Iobenguane I131,,"Molecular Insight Pharmaceuticals, Inc.",All,"12 Years and older   (Child, Adult, Older Adult)",,null,Industry,Expanded Access,,MIP-IB12B-EAP,null,null,null,11-Nov-16,null,5-Oct-17,"University of Iowa, Iowa City, Iowa, United States|Hospital of the University of Pennsylvania, Philadelphia, Pennsylvania, United States|MD Anderson Cancer Center, Houston, Texas, United States",,https://ClinicalTrials.gov/show/NCT02961491
74,NCT02960620,Therasphere for Unresectable Primary or Secondary Liver Neoplasia,,Available,No Results Available,Liver Cancer|Liver Neoplasms|HepatoCellular Carcinoma,Device: TheraSphere Treatment,,H. Lee Moffitt Cancer Center and Research Institute|Biocompatibles UK Ltd|BTG International Inc.,All,"18 Years and older   (Adult, Older Adult)",,null,Other|Industry,Expanded Access,,MCC-15789,null,null,null,9-Nov-16,null,27-Feb-18,"H. Lee Moffitt Cancer Center and Research Institute, Tampa, Florida, United States",,https://ClinicalTrials.gov/show/NCT02960620
