	0	1	Indication	ICD9	ICD10
1161	D0B8SV	NADH; DPNH; Dihydrodiphosphopyridine nucleotide; Dihydronicotinamide adenine dinucleotide; Diphosphopyridine nucleotide reduced; NADH dianion; Nicotinamide adenine dinucleotide reduced; Reduced Nicotinamide Adenine Dinucleotide; NADH2; Beta-DPNH; Beta-NADH; Coenzyme I, reduced; Cozymase I, reduced; Diphosphopyridine nucleotide,reduced form; NAD-reduced; Nicotinamide adenine dinucleotide, reduced form; Reduced nicotinamide-adenine dinucleotide; Beta-Nicotinamide adenine dinucleotide, reduced dipotassium salt; NADH+H+; Nicotinaminde-Adenine-Dinucleotide; Adenosine pyrophosphate, 5'->5'-ester with 1,4-dihydro-1-beta-D-ribofuranosylnicotinamide (7CI); Adenosine 5'-(trihydrogen pyrophosphate), 5'->5'-ester with 1,4-dihydro-1-beta-D-ribofuranosylnicotinamide (8CI); Adenosine 5'-(trihydrogen diphosphate), P'->5'-ester with 1,4-dihydro-1-beta-D-ribofuranosyl-3-pyridinecarboxamide (9CI); Adenosine 5'-{3-[1-(3-carbamoyl-1,4-dihydropyridin-1-yl)-1,4-anhydro-D-ribitol-5-yl] dihydrogen diphosphate}; Adenosine 5'-{3-[1-(3-carbamoyl-1,4-dihydropyridin-1-yl)-1,4-anhydro-D-ribitol-5-yl] diphosphate}; [5-(6-Aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl [[5-(3-carbamoyl-4H-pyridin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] hydrogen phosphate; [[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [(2R,3S,4R,5R)-5-(3-carbamoyl-4H-pyridin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl hydrogen phosphate; [(2R,3S,4R,5R)-5-(6-Aminopurin-9-yl)-3,4-dihydroxy-oxolan-2-yl]methoxy-[[(2R,3S,4R,5R)-5-(3-carbamoyl-4H-pyridin-1-yl)-3,4-dihydroxy-oxolan-2-yl]methoxy-hydroxy-phosphoryl]oxy-phosphinic acid	Parkinson's disease	332	G20
1162	D0U8UV	Dimenhydrinate; Dramamine (TN); Gravamin (TN); Gravol (TN); Vertirosan (TN); Dimenhydrinate (JP15/USP/INN); 2-(diphenylmethoxy)-N,N-dimethylethanaminium 8-chloro-1,3-dimethyl-2,6-dioxo-1,2,3,6-tetrahydropurin-7-ide; 2-benzhydryloxyethyl(dimethyl)azanium; 8-chloro-1,3-dimethyl-2-oxopurin-6-olate; 8-chloro-1,3-dimethyl-3,7-dihydro-1H-purine-2,6-dione-2-(diphenylmethoxy)-N,N-dimethylethanamine (1:1)	Nausea; Vomiting	787, 787.0	R11
1163	D06TNG	Polythiazide; Drenusil; Nephril; Politiazida; Polythiazidum; Renese; P 2525; P-2525; Politiazida [INN-Spanish]; Polythiazidum [INN-Latin]; Renese (TN); Polythiazide (JAN/USAN/INN); Polythiazide [USAN:INN:BAN:JAN]; 2-Methyl-3-(beta,beta,beta-trifluoroethylthiomethyl)-6-chloro-7-sulfamyl-3,4-dihydro-1,2,4-benzothiadiazine 1,1-dioxide; 2H-1,2,4-Benzothiadiazine-7-sulfonamide, 6-chloro-3,4-dihydro-2-methyl-3-(((2,2,2-trifluoroethyl)thio)methyl)-, 1,1-dioxide; 2H-1,2,4-Benzothiadiazine-7-sulfonamide, 6-chloro-3,4-dihydro-2-methyl-3-(((2,2,2-trifluoroethyl)thio)methyl)-, 1,1-dioxide (8CI, 9CI); 2H-1,2,4-Benzothiadiazine-7-sulfonamide, 6-chloro-3,4-dihydro-2-methyl-3-[[(2,2,2-trifluoroethyl)thio]methyl]-, 1,1-dioxide; 6-Chloro-3,4-dihydro-2-methyl-3-(((2,2,2-trifluoroethyl)thio)methyl)-2H-1,2,4-benzothiadiazine-7-sulfonamide 1,1-dioxide; 6-Chloro-3,4-dihydro-2-methyl-3-[[(2,2,2-trifluoroethyl)thio]methyl]-2H-1,2,4-benzothiadiazine-7-sulfonamide 1,1-dioxide; 6-Chloro-3,4-dihydro-2-methyl-7-sulphamoyl-3-(2,2,2-trifluoroethylthiomethyl)-2H-benzo-1,2,4-thiadiazine 1,1-dioxide; 6-chloro-2-methyl-1,1-dioxo-3-(2,2,2-trifluoroethylsulfanylmethyl)-3,4-dihydro-1; 6-chloro-2-methyl-3-{[(2,2,2-trifluoroethyl)thio]methyl}-3,4-dihydro-2H-1,2,4-benzothiadiazine-7-sulfonamide 1,1-dioxide	Hypertension; Edema	401	I10-I16, R60.9
1164	D09NNA	Dromostanolone; Drostanolo; Drostanolon; Drostanolona; Drostanolone; Drostanolonum; Medrosteron; Medrotestron; Methalone; Metholone; Prometholone; Drostanolo [DCIT]; SKI 27719; Drolban (TN); Drostanolona [INN-Spanish]; Drostanolone [INN:BAN]; Drostanolonum [INN-Latin]; Dihydro-2alpha-methyltestosterone; Dihydro-2-alpha-methyltestosterone; Dihydro-2.alpha.-methyltestosterone; Androstan-3-one, 17-hydroxy-2-methyl-, (2alpha,5alpha,17beta)-(9CI); (2R,5S,8R,9S,10S,13S,14S,17S)-17-hydroxy-2,10,13-trimethyl-1,2,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydrocyclopenta[a]phenanthren-3-one; (2alpha,5alpha,17beta)-17-hydroxy-2-methylandrostan-3-one; 17 beta-hydroxy-2 alpha-methyl-5 alpha-androstan-3-one; 17-beta-Hydroxy-2-alpha-methyl-5-alpha-androstan-3-one; 17beta-Hydroxy-2alpha-methyl-5alpha-androstan-3-one; 2-alpha-Methyl-17-beta-hydroxy-5-alpha-androstan-3-one; 2-alpha-Methyldihydrotestosterone; 2.alpha.-Methyldihydrotestosterone; 2a-methylandrostan-17b-ol-3-one; 2alpha-Methyldihydrotestosterone	Female androgenresponsive recurrent mammary cancer	174, 175	C50
1165	D0Z4ZT	Drospirenone; DRSP; Dehydrospirorenone; Dihydrospirorenone; Drospirenona; Drospirenonum; Drospirenone [INN]; ZK 30595; ZK30595; Angeliq, Drospirenone; Drospirenona [INN-Spanish]; Drospirenonum [INN-Latin]; SH-470; ZK-30595; Drospirenone (JAN/USAN/INN); (6R,7R,8R,9S,10R,13S,14S,15S,16S,17S)-1,3',4',6,6a,7,8,9,10,11,12,13,14,15,15a,16-Hexadecahydro-10,13-dimethylspiro-(17H-dicyclopropa(6,7:15,16)cyclopenta(a)phenanthrene-17,2'(5'H)-furan)-3,5'(2H)-dione; 1,2-Dihydrospirorenone; 1,2-dihydro-spirorenone; 17-Hydroxy-6beta,7beta:15beta,16beta-dimethylene-3-oxo-17alpha-pregn-4-ene-21-carboxylic acid, gamma-lactone; 3-oxo-6alpha,7alpha,15alpha,16alpha-tetrahydro-7'H,16'H-dicyclopropa[6,7;15,16]-17alpha-pregn-4-ene-21,17-carbolactone; 6-beta,7-beta;15-beta,16-beta-Dimethylene-3-oxo-17-alpha-pregn-4-ene-21,17-carbolactone; 6beta,7beta,15beta,16beta-dimethylen-3-oxo-17alpha-pregn-4-en-21,17-carbolacton; 6beta,7beta,15beta,16beta-dimethylene-3-oxo-17alpha-pregn-4-ene-21,17 carbolactone; 6beta,7beta;15beta,16beta-Dimethylene-3-oxo-17alpha-pregn-4-ene-21,17-carbolactone; Spiro(17H-dicyclopropa(6,7:15,16)cyclopenta(a)phenanthrene-17,2'(5'H)-furan)-3,5'(2H)-dione, 1,3',4',6,7,8,9,10,11,12,13,14,15,16,20,21-hexadecahydro-10,13-dimethyl-, (6R-(6alpha,7alpha,8beta,9alpha,10beta,13beta,14alpha,15alpha,16alpha,17beta	Oral contraceptive		Z30
1166	D07TQV	Lamivudine; DTHC; Epivir; Hepitec; Heptivir; Heptodin; Heptovir; LMV; Lamivir; Zeffix; Zefix; BCH 189; BCH189; GR109714X; GR109714X; BCH-189; BCH-790; DRG-0126; Epivir (TN); Epivir(TM); Epivir-HBV; GG-714; GR-109714X; HHA & 3TC; HHA & Lamivudine; Heptovir (TN); Lamivudine & GNA; Zeffix (TN); Epivir-HBV (TN); Lamivudine [USAN:BAN:INN]; Lamivudine [USAN:INN:BAN]; Lamivudine (JAN/USP/INN); Lamivudine, (2S-cis)-Isomer; Beta-L-2',3'-Dideoxy-3'-thiacytidine; Beta-L-3'-Thia-2',3'-dideoxycytidine; Beta-L-(-)-2',3'-dideoxy-3'-thiacytidine & Sho-Saiko-To; (+/-)-(Cis)-1-[2-(Hydroxymethyl)-1,3-oxathiolan-5-yl]cytosine; (+/-)-3TC; (+/-)-BCH-189; (+/-)-SddC; (-)-(2'R,5'S)-1-[2'-Hydroxymethyl-5'-(1,3-oxathiolanyl)]cytosine; (-)-1-((2R,5S)-2-(Hydroxymethyl)-1,3-oxathiolan-5-yl)cytosine; (-)-1-[(2R,5S)-2-(Hydroxymethyl)-1,3-oxathiolan-5-yl]cytosine; (-)-2'-Deoxy-3'-thiacytidine; (-)-BCH 189; (-)-BCH-189; (-)-NGPB-21; (-)-SddC; (-)-beta-L-2',3'-Dideoxy-3'-thiacytidine; (2R,cis)-4-amino-1-(2-hydroxymethyl-1,3-oxathiolan-5-yl)-(1H)-pyrimidin-2-one; 2',3' Dideoxy 3' thiacytidine; 2',3'-Dideoxy-3'-thiacytidine; 2(1H)-Pyrimidinone, 4-amino-1-[2-(hydroxymethyl)-1,3-oxathiolan-5-yl], (+/-)-(Cis); 2(1H)-Pyrimidinone, 4-amino-1-[2-(hydroxymethyl)-1,3-oxathiolan-5-yl], (-)-(2R,5S); 2(1H)-Pyrimidinone, 4-amino-1-[2-(hydroxymethyl)-1,3-oxathiolan-5-yl], (-)-(2R,5S) & Galanthus Nivalis Agglutinin (GNA); 2(1H)-Pyrimidinone, 4-amino-1-[2-(hydroxymethyl)-1,3-oxathiolan-5-yl], (-)-(2R,5S) & Hippeastrum hybrid agglutinin(HHA); 3'-Thia-2',3'-dideoxycytidine; 3TC; 3TC & GNA; 3TC & SST; 3TC (AIDS INITIATIVE) (AIDS INITIATIVE); 3TC and NV-01; 3TC, Zeffix, Heptovir, Epivir, Epivir-HBV, Lamivudine; 4-Amino-1-((2R,5S)-2-(hydroxymethyl)-1,3-oxathiolan-5-yl)-2(1H)-pyrimidinone; 4-amino-1-[(2R,5S)-2-(hydroxymethyl)-1,3-oxathiolan-5-yl]pyrimidin-2(1H)-one; 4-amino-1-[(2R,5S)-2-(hydroxymethyl)-1,3-oxathiolan-5-yl]pyrimidin-2-one; 3TC	HIV infection; Chronic hepatitis b	042, 070.2-070.3	B16, B18.0, B18.1, B20
1167	D01CRB	L-Tyrosine; DTY; Rxosine; Tirosina; Tyr; Tyrosine; Tyrosinum; Tirosina [Spanish]; Tyrosine Power; Tyrosinum [Latin]; Melanin synthesized from Tyr substrate catalyzed by tyrosinase for 6 hrs; L-Tyrosin; L-Tyrosine hydrochloride; Melanin synthesized from Tyr substrate catalyzed by tyrosinase for 6 hrs, oxidized with hydrogen peroxide; P-Tyrosine; TYR NH3+ COOH; Tyrosine (VAN); Tyrosine [USAN:INN]; Free-Form L-Tyrosine; H-Tyr-OH; L-Tyrosine (9CI); L-Tyrosine (JAN); L-Tyrosine, homopolymer; L-Tyrosine, monomer; L-p-Tyrosine; Melanin synthesized from Tyr substrate catalyzed by tyrosinase, brominated with N-bromosuccinimide; Tyrosine (USP/INN); Beta-(p-Hydroxyphenyl)alanine; Melanin synthesized from Tyr substrate catalyzed by tyrosinase for 6 hrs, oxidized with hydrogen peroxide, <3 kd fraction; Tyrosine, L-(8CI); DD69927C-C6A8-4BC6-8E9A-0AB423B176E7; L-(-)-Tyrosine; Melanin synthesized from Tyr substrate catalyzed by tyrosinase, sulfonated using sulfur trioxide/DMF complex for 1.5-7 hours; Alpha-Amino-beta-(4-hydroxyphenyl)propionic acid; L-2-Amino-3-p-hydroxyphenylpropanoic acid; (-)-alpha-Amino-p-hydroxyhydrocinnamic acid; (2S)-2-amino-3-(4-hydroxyphenyl)propanoic acid; (S)-2-Amino-3-(4-hydroxyphenyl)propionic acid; (S)-2-Amino-3-(p-hydroxyphenyl)propionic acid; (S)-3-(p-Hydroxyphenyl)alanine; (S)-Tyrosine; (S)-alpha-Amino-4-hydroxybenzenepropanoic acid; 2-Amino-3-(p-hydroxyphenyl)propionic acid; 3-(4-Hydroxyphenyl)-L-alanine; 3-(p-Hydroxyphenyl)alanine; 4-Hydroxy-L-phenylalanine; 4ts1	Dietary shortage	260-269	E40-E46
1168	D0K3WO	MK-08887A; DULERA	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
1169	D0XW2H	Mometasone furoate/ formoterol fumarate; Dulera (TN)	Asthma		J45
1170	D03HFG	Fluvoxamine; Dumirox; Dumyrox; Faverin; Floxyfral; Fluvoxamina; Fluvoxaminum; Maveral; Fluvoxamina [INN-Spanish]; Fluvoxamine (INN); Fluvoxamine [INN:BAN]; Fluvoxamine-CR; Fluvoxaminum [INN-Latin]; Luvox (TN); (1E)-5-methoxy-1-[4-(trifluoromethyl)phenyl]pentan-1-one O-(2-aminoethyl)oxime; 2-[(E)-[5-methoxy-1-[4-(trifluoromethyl)phenyl]pentylidene]amino]oxyethanamine; 2-[({5-methoxy-1-[4-(trifluoromethyl)phenyl]pentylidene}amino)oxy]ethanamine	Depression	311	F30-F39
1171	D0A5LH	Penicillin G Procaine; Duracillin A.S.; Penicillin G Procaine; Pfizerpen-as; .	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
1172	D0G7DJ	Etidocaine; Duranest	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
1173	D01ZOG	Difluprednate; Durezol (TN)	Inflammation and pain associated with ocular surgery	338,780	R52, G89
1174	D0U0RZ	Phentermine; Duromine; Fastin; Fentermina; Inoamin; Ionamin; Ionamine; Linyl; Lipopill; Lonamin; Mirapront; Normephentermine; Obenix; Obermine; Omnibex; Ortetamin; Ortetamina; Ortetaminum; Phentercot; Phenterminum; Phentride; Phentrol; Wilpo; Zantryl; Ona Mast; Ortetamine [INN]; Phentermine HCl; Phentermine resin complex; AmbkkkkK744; Phentermine Resin 30; Phentrol 2; Phentrol 3; Phentrol 4; Adipex P (TN); Adipex-P; Alpha-Benzylisopropylamine; Duromine (TN); Fastin (TN); Fentermina [INN-Spanish]; Ionamin (TN); Mirapront (TN); Obenix (TN); Obephen (TN); Obermine (TN); Oby-Trim; Panbesy (TN); Phenterex (TN); Phentermine (TN); Phenterminum [INN-Latin]; Phentremene (TN); Phentrol (TN); Phentromin (TN); Pro-Fast; Redusa (TN); Sinpet (TN); Supremin (TN); Teramine (TN); Trenker (TN); Umine (TN); Weltmine (TN); Zantryl (TN); Alpha,alpha-Dimethylbenzeneethanamine; Alpha,alpha-Dimethylphenethylamine; Anoxine-AM (TN); Obestin-30 (TN); Oby-Trim (TN); Phentermine (USAN/INN); Phentermine [USAN:INN:BAN]; Phenyl-tert-butylamine; Phenyl-tertiary-butylamine; Pro-Fast SA (TN); Alpha,alpha-Dimethyl-beta-phenylethylamine; Alpha.,.alpha.-dimethyl-Benzeneethanamine; (alpha,alpha)-Dimethylphenethylamine; 1,1-Dimethyl-2-phenylethylamine; 1-(2-Methylphenyl)-2-propylamin; 1-(2-Tolyl)-2-propylamine; 2-Amino-2-methyl-1-phenylpropane; 2-Methyl-1-phenyl-2-propanamine; 2-Phenyl-tert-butylamine; 2-methyl-1-phenylpropan-2-amine	Obesity	278	E66
1175	D0N5HJ	Enalaprilat; EAL; Enalaprilate; Enalaprilatum; ENALAPRILAT INHIBITOR; Enalapril acid; Enalapril diacid; Enalaprilat anhydrous; Enalaprilic acid; Enalprilat hydrate; Enalprilate hydrate; Enalaprilat (USP); MK-422; Renitec (TN); Vasotec (TN); Vasotec I.V.; N-[(1S)-1-carboxy-3-phenylpropyl]-L-alanyl-L-proline; N-[(1S)-1-carboxy-3-phenylpropyl]-L-alanyl-L-proline-water (1/2); (2S)-1-[(2S)-2-[[(2S)-1-hydroxy-1-oxo-4-phenylbutan-2-yl]amino]propanoyl]pyrrolidine-2-carboxylic acid; (2S)-1-[(2S)-2-[[(2S)-1-hydroxy-1-oxo-4-phenylbutan-2-yl]amino]propanoyl]pyrrolidine-2-carboxylic acid dihydrate; 1-((2S)-2-{[(1S)-1-CARBOXY-3-PHENYLPROPYL]AMINO}PROPANOYL)-L-PROLINE; 1-(N-((S)-1-Carboxy-3-phenylpropyl)-L-alanyl)-L-proline dihydrate	Hypertension	401	I10-I16
1176	D0T8KD	Eberconazole; Ebernet; WAS-2160	Fungal infections	110-118	B35-B49
1177	D0B1FE	Ebselen; Ebselene; Ebseleno; Ebselenum; Harmokisane; Ebselen [INN]; Ebselene [French]; Ebseleno [Spanish]; Ebselenum [Latin]; DR 3305; E 3520; PZ 51; PZ51; RP 60931; DR-3305; PZ-51; SPI-1005; SPI-3005; 2-Phenyl-1,2-benzisoselenazol-3(2H)-one; 2-Phenyl-1,2-benzisoselenazolin-3-one; 2-phenyl-1,2-benzoisoselenazol-3(2H)-one; 2-phenyl-1,2-benzoselenazol-3-one	Reperfusion injury and stroke	410, 434.91	I21, I22, I61-I63
1178	D0F9BY	"Anidulafungin; Ecalta; Eraxis; Anidulafungin [USAN:INN]; Ecalta (TN); Eraxis (TN); LY-303366; V-Echinocandin; VER-002; Echinocandin B, 1-((4R,5R)-4,5-dihydroxy-N2-((4""-(pentyloxy)(1,1':4',1""-terphenyl)-4-yl)carbonyl)-L-ornithine); (4R,5R)-4,5-Dihydroxy-N(sup 2)-((4'-(pentyloxy)-p-terphenyl-4-yl)carbonyl)-L-ornithyl-L-threonyl-trans-4-hydroxy-L-prolyl-(S)-4-hydroxy-4-(p-hydroxyphenyl)-L-threonyl-L-threonyl-(3S,4S)-3-hydroxy-4-methyl-L-proline cyclic (6-1)-peptide"	Convulsions	780.3	R56.0
1179	D0U8AT	Echothiophate Iodide; Echodide; Phospholine; Diethoxyphosphinylthiocholine iodide; ECOTHIOPATE IODIDE; Ecostigmini jodidum; Ecothiopati iodidum; Ecothiophate iodide; Ioduro de ecotiopato; Phospholine iodide; Diethoxyphosphoryl-thiocholine iodide; Echothiophate iodide (USP); Ecothiopati iodidum [INN-Latin]; Iodide, Echothiophate; Iodide, Ecothiopate; Iodide, Ecothiophate; Iodide, Phospholine; Iodure d'ecothiopate; Ioduro de ecotiopato [INN-Spanish]; Phospholine (the pharmaceutical); Phospholine Iodide (TN); Phospholine iodide (TN); Ecothiopate iodide (JP15/INN); Iodure d'ecothiopate [INN-French]; N-(2-(Diethoxyphosphinylthio)ethyl)trimethylammonium iodide; O,O-Diethyl S-2-trimethylammonium ethylphosphonothiolate iodide; S-Ester of (2-mercaptoethyl)trimethylammonium iodide with O,O-diethyl phosphorothioate; S-beta-dimethylaminoethyl-O,O-diethylthionophosphate methiodide; S-(2-Dimethylaminoethyl)-O.O-diethylphosphorothioate methiodide; S-(2-dimethylaminoethyl)-O,O-diethylphosphorothioate methiodide; Ammonium, (2-(O,O-diethylphosphorothio)ethyl)trimethyl-, iodide; Ammonium, (2-mercaptoethyl)trimethyl-, iodide, S-ester with O,O-diethylphosphorothioate; S-(2-(N,N,N-Trimethylammonio)ethyl) O,O-diethylphosphorothiolate iodide; Ethanaminium, 2-((diethoxyphosphinyl)thio)-N,N,N-trimethyl-, iodide; (2-Mercaptoethyl)trimethylammonium iodide S-ester with O,O-diethyl phosphorothioate; (2-mercaptoethyl)trimethylammonium iodidie O,O-diethyl phosphorothioate; 2-((Diethoxyphosphinyl)thio)-N,N,N,-trimethylethanaminium iodide; 2-Diaethoxyphosphinyl-thioaethyl-trimethyl-ammonium-jodid; 2-Diaethoxyphosphinyl-thioaethyl-trimethyl-ammonium-jodid [German]; 2-Diethoxy-phosphinylthioethyl-trimethylammonium iodide; 2-[(diethoxyphosphinyl)thio]-N,N,N-trimethylethanaminium iodide; 2-[(diethoxyphosphoryl)sulfanyl]-N,N,N-trimethylethanaminium iodide; 2-diethoxyphosphorylsulfanylethyl(trimethyl)azanium iodide; 2-{[bis(ethyloxy)phosphoryl]thio}-N,N,N-trimethylethanaminium iodide; 217 MI; 217-mi	Chronic glaucoma	365	H40-H42
1180	D0EV8E	Econazole; Ecostatin; Palavale; Pevaryl; Ecostatin Vaginal Ovules; Ecostatin cream; Spectazole cream; SQ 13050; Ecostatin (TN); Gyno-Pevaryl 150; Gyno-pevaryl; Pevaryl (TN); Spectazole (TN); Econazole (USAN/INN); 1-[2,4-Dichloro-.beta.-[(p-chlorobenzyl)oxy]phenethyl]imidazole; 1-[2-[(4-Chlorophenyl)methoxy]-2-(2,4-dichlorophenyl)ethyl]-1H-imidazole; 1-[2-[(4-chlorophenyl)methoxy]-2-(2,4-dichlorophenyl)ethyl]imidazole; 1-{2-(4-chlorobenzyloxy)-2-(2,4-dichlorophenyl)ethyl}-1H-imidazole; 1-{2-[(4-chlorobenzyl)oxy]-2-(2,4-dichlorophenyl)ethyl}-1H-imidazole; 1-{2-[(4-chlorophenyl)methoxy]-2-(2,4-dichlorophenyl)ethyl}-1H-imidazole	Chronic pain	338.2,780	R52.1-R52.2, G89
1181	D0EV8E	Econazole; Ecostatin; Palavale; Pevaryl; Ecostatin Vaginal Ovules; Ecostatin cream; Spectazole cream; SQ 13050; Ecostatin (TN); Gyno-Pevaryl 150; Gyno-pevaryl; Pevaryl (TN); Spectazole (TN); Econazole (USAN/INN); 1-[2,4-Dichloro-.beta.-[(p-chlorobenzyl)oxy]phenethyl]imidazole; 1-[2-[(4-Chlorophenyl)methoxy]-2-(2,4-dichlorophenyl)ethyl]-1H-imidazole; 1-[2-[(4-chlorophenyl)methoxy]-2-(2,4-dichlorophenyl)ethyl]imidazole; 1-{2-(4-chlorobenzyloxy)-2-(2,4-dichlorophenyl)ethyl}-1H-imidazole; 1-{2-[(4-chlorobenzyl)oxy]-2-(2,4-dichlorophenyl)ethyl}-1H-imidazole; 1-{2-[(4-chlorophenyl)methoxy]-2-(2,4-dichlorophenyl)ethyl}-1H-imidazole	Tinea pedis; Tinea cruris; Tinea corporis; Cutaneous candidiasis; Tinea versicolor		B353
1182	D03RTK	Trabectedin; Ecteinascidin; Ecteinascidin-743; Et-743; Yondelis (TN)	Cancer	140-229	C00-C96
1183	D0I7SZ	Quinapril; Ectren; Koretic; Quinaprilum; QUINAPRIL HCL; Quinaprilum [Latin]; Accupril (TN); Quinapril [INN:BAN]; Quinapril (USP/INN); [3S-[2[R*(R*)],3R*]]-2-[2-[[1-(ethoxycarbonyl)-3-phenylpropyl]amino]-1-oxopropyl]-1,2,3,4-tetrahydro-3-Isoquinolinecarboxylic acid; (3S)-2-(N-{(1S)-1-[(ethyloxy)carbonyl]-3-phenylpropyl}-L-alanyl)-1,2,3,4-tetrahydroisoquinoline-3-carboxylic acid; (3S)-2-[(2S)-2-[[(2S)-1-ethoxy-1-oxo-4-phenylbutan-2-yl]amino]propanoyl]-3,4-dihydro-1H-isoquinoline-3-carboxylic acid; (3S)-2-{(2S)-2-[(1S)-1-ethoxycarbonyl-3-phenylpropylamino]propanoyl}-1,2,3,4-tetrahydroisoquinoline-3-carboxylic acid; (3S)-2-{N-((S)-1-Ethoxycarbonyl-3-phenylpropyl)-L-alanyl}-1,2,3,4-tetrahydroisoquinoline-3-carboxylic acid	Hypertension	401	I10-I16
1184	D06DLI	MCI-186; Edarabone; Edaravone; Methylphenylpyrazolone; Monopyrazolone; Norantipyrine; Norphenazone; Phenylmethylpyrazolone; Radicut; Developer Z; Edaravone [INN]; Phenyl methyl pyrazolone; CDS1_000986; CI Developer 1; IN1263; M0687; MCI 186; Edaravone(jan); Radicut (TN); AE-641/00371017; C.I. Developer 1; Edaravone (JAN/INN); (MCI-186); 1-Fenyl-3-methyl-2-pyrazolin-5-on; 1-Fenyl-3-methyl-2-pyrazolin-5-on [Czech]; 1-Phenyl-3-methyl-5-oxo-2-pyrazoline; 1-Phenyl-3-methyl-5-pyrazolone; 1-Phenyl-3-methylpyrazolone; 1-Phenyl-3-methylpyrazolone-5; 2,4-Dihydro-5-methyl-2-phenyl-3H-pyrazol-3-one; 3-METHYL-1-PHENYL-2-PYRAZOLIN-5-ONE; 3-Methyl-1-phenyl-2-pyrazoline-5-one; 3-Methyl-1-phenyl-5-pyrazolone; 3-Methyl-1-phenylpyrazol-5-one; 5-Methyl-2-phenyl-2,4-dihydro-3H-pyrazol-3-one; 5-methyl-2-phenyl-4H-pyrazol-3-one	Amyotrophic lateral sclerosis	335.2	G12.2
1185	D0W5UV	Ethacrynate Sodium; Edecrin	High blood pressure	401	I10-I16
1186	D0C3BS	DU-176b; Edoxaban	Atrial fibrillation	272, 427.31	E78, I48
1187	D0S5LH	Edrophonium; EDR; Edrophonum; Edroponium; Reversol; Tensilon; EDROPHONIUM ION; Edrophone Chloride; Enlon Plus; ENLON-PLUS; Enlon (TN); Reversol (TN); Tensilon (TN); Ethyl-(3-hydroxyphenyl)-dimethylazanium; Ethyl-(3-hydroxy-phenyl)-dimethyl-ammonium; N-ethyl-3-hydroxy-N,N-dimethylanilinium; N-ethyl-3-hydroxy-N,N-dimethylbenzenaminium; (3-hydroxyphenyl)dimethylethylammonium; 3-hydroxy-N,N-dimethyl-N-ethylanilinium	Myasthenia gravis diagnosis	358	G70.0
1188	D04UZT	Quinestrol; EECPE; Eston; Estrovis; Estrovister; Plestrovis; Quilea; Quinestrolo; Quinestrolum; Quinestrolo [DCIT]; Estrovis 4000; W 3566; Estrovis (TN); Ethinyl Estradiol 3-Cyclopentyl Ether; Qui-Lea; Quinestrolum [INN-Latin]; W-3566; Quinestrol (USAN/INN); Quinestrol [USAN:INN:BAN]; Estradiol-17-beta 3-cyclopentyl ether; (8R,9S,13S,14S,17R)-3-cyclopentyloxy-17-ethynyl-13-methyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-17-ol; 17-alpha-Ethinylestradiol 3-cyclopentyl ether; 17ALPHA-ETHYLNYL-1,3,5[10]ESTRATRIENE-3,17BETA-DIOL 3-CYCLOPENTYL ETHER; 17alpha-Ethynyl-1,3,5(10)-estratriene-3,17beta-diol 3-cyclopentyl ether; 17alpha-Ethynylestradiol 3-cyclopentyl ether; 3-(Cyclopentyloxy)-19-nor-17-alpha-pregna-1,3,5(10)-trien-20-yn-17-ol; 3-(Cyclopentyloxy)-19-nor-17alpha-pregna-1,3,5(10)-trien-20-yn-17-ol; 3-(cyclopentyloxy)-17beta-ethynylestra-1,3,5(10)-trien-17-ol; 3-Cyclopentyloxy-17alpha-ethynylestra-1,3,5(10)-trien-17beta-ol	Breast cancer; Prostate cancer; Female infertility	174, 175, 185, 628	C50, C61, N97.0
1189	D0P1UX	Venlafaxine; Efectin; Elafax; Venlafaxina; VenlafaxineXR; Venlafaxinum; Venlafaxine ER; Wy 45030; Efectin (TN); Venlafaxina [INN-Spanish];Venlafaxine (Effexor); Venlafaxine (INN); Venlafaxine [BAN:INN]; Venlafaxine [INN:BAN]; Venlafaxinum [INN-Latin]; N,N-dimethyl-2-(1-hydroxycyclohexyl)-2-(4-methoxyphenyl)ethylamine; 1-[(1R)-2-(Dimethylamino)-1-(4-methoxyphenyl)ethyl]cyclohexanol; 1-[2-(Dimethylamino)-1-(4-methoxyphenyl)ethyl]cyclohexanol; 1-[2-(dimethylamino)-1-(4-methoxyphenyl)ethyl]cyclohexan-1-ol; 1-[2-dimethylamino-1-(4-methoxyphenyl)ethyl]cyclohexan-1-ol; 1-{2-(dimethylamino)-1-[4-(methyloxy)phenyl]ethyl}cyclohexanol	Depression	311	F30-F39
1190	D07IRF	Prasugrel; Effient (TN)	Acute coronary syndrome	444	I74
